ID,TEXTURE,COMPANY,NAME,INTENSITY,COLOUR_FAMILY,RED,GREEN,BLUE,LIKES,DISLIKES,SCORE,WEARS
1,MATTE,COLOURPOP,The Twirl,BOLD,CORAL,242,120,113,,,,
2,MATTE,COLOURPOP,Fresh Cut,BOLD,PINK,187,86,89,,,,
3,MATTE,COLOURPOP,Bumble,BOLD,PINK,189,80,75,,,,
4,MATTE,COLOURPOP,Creeper,BOLD,RED,197,13,15,,,,
5,MATTE,COLOURPOP,Saigon,BOLD,RED,199,20,15,,,,
6,MATTE,COLOURPOP,Airplane Mode,NUDE,CORAL,193,121,102,,,,
7,MATTE,COLOURPOP,Speed Dial,NUDE,CORAL,188,104,94,,,,
8,MATTE,COLOURPOP,Viper,BOLD,PURPLE,180,107,118,,,,
9,MATTE,COLOURPOP,More Better,BOLD,PURPLE,148,40,75,,,,
10,MATTE,COLOURPOP,Zipper,BOLD,PURPLE,139,68,111,,,,
11,MATTE,COLOURPOP,LAX,BOLD,DARK,100,34,35,,,,
12,MATTE,COLOURPOP,Limbo,NUDE,DARK,133,74,56,,,,
13,MATTE,COLOURPOP,Trap,NUDE,NUDE,169,121,117,,,,
14,MATTE,COLOURPOP,Knotty,NUDE,NUDE,218,163,147,,,,
15,GLOSSY,COLOURPOP,Wolfie,BOLD,RED,194,82,85,,,,
16,GLOSSY,COLOURPOP,Fairy Floss,NUDE,NUDE,225,168,148,,,,
17,GLOSSY,COLOURPOP,Aquarius,NUDE,NUDE,162,104,92,,,,
18,GLOSSY,COLOURPOP,Bestie,NUDE,PINK,212,148,149,,,,
19,GLOSSY,COLOURPOP,Honey B,BOLD,PINK,187,42,85,,,,
20,GLOSSY,COLOURPOP,Master Plan,NUDE,PURPLE,186,130,150,,,,
21,GLOSSY,COLOURPOP,Finder's Keepers,NUDE,PURPLE,185,130,133,,,,