ID,TEXTURE,COMPANY,NAME,STYLE,TEMPERATURE,FOCUS_RED,FOCUS_GREEN,FOCUS_BLUE,SECONDARY_RED,SECONDARY_BLUE,SECONDARY_GREEN,LIKES,DISLIKES,SCORE,WEARS
1,MATTE,AVON,Tenderness,SUBTLE,WARM,180,136,118,136,79,68,,,,
2,MATTE,AVON,Desert Sunset,BOLD,WARM,242,153,79,103,80,98,,,,
3,MATTE,AVON,Smoke and Fog,BOLD,COOL,116,152,145,109,88,76,,,,
4,MATTE,AVON,Tranquility,BOLD,COOL,194,206,223,81,158,188,,,,
5,MATTE,AVON,On The Vine,BOLD,COOL,163,193,180,78,139,139,,,,
6,MATTE,AVON,Tenderness,SUBTLE,WARM,248,172,138,243,214,184,,,,
7,SHINE,MAYBELLINE,Autumn Coppers,BOLD,WARM,248,197,196,198,96,45,,,,
8,SHINE,MAYBELLINE,Amethyst Smokes,BOLD,COOL,141,106,139,145,120,139,,,,
9,SHINE,MAYBELLINE,Sandstone Shimmer,BOLD,WARM,252,175,105,202,77,117,,,,
10,SHINE,MAYBELLINE,Mocha Motion,METALLIC,COOL,191,174,184,209,153,115,,,,